,holding,total
2001-07-23,"[('KMX', 7.800000190734863, 6.056211886041838), ('LH', 45.400001525878906, 1.0404945435812425), ('WRB', 5.454485893249512, 8.660477777515116)]",141.71536159877124
2001-07-30,"[('KMX', 8.880000114440918, 5.4188140374417), ('LH', 41.619998931884766, 1.156152583073535), ('WRB', 5.458436012268066, 8.815541514907695)]",144.35720781784903
2001-08-06,"[('KMX', 7.949999809265137, 5.697447622341889), ('LH', 41.060001373291016, 1.1031345834386581), ('WRB', 5.1423869132995605, 8.808109594743277)]",135.88412253274836
2001-08-13,"[('KMX', 7.690000057220459, 5.802062007949524), ('LH', 40.82500076293945, 1.0929052379499808), ('WRB', 5.1094651222229, 8.732392942476384)]",133.85357151938547
2001-08-20,"[('KMX', 7.635000228881836, 5.967519296284912), ('LH', 42.42499923706055, 1.0739425341743125), ('WRB', 5.27012300491333, 8.645341133501944)]",136.68603357897624
2001-08-27,"[('KMX', 7.099999904632568, 5.989463929347558), ('LH', 38.95000076293945, 1.0917892809807126), ('WRB', 5.017283916473389, 8.47573986944285)]",127.57557998150361
2001-09-03,"[('KMX', 6.75, 6.1799418176580145), ('LH', 37.599998474121094, 1.1094310894161994), ('WRB', 5.151605129241943, 8.09739997974765)]",125.1438218075748
2001-09-10,"[('KMX', 6.25, 6.466554837826351), ('LH', 37.084999084472656, 1.0898198391310383), ('WRB', 5.122633934020996, 7.889684927123087)]",121.24790320924409
2001-09-17,"[('KMX', 4.800000190734863, 7.650218507376035), ('LH', 34.650001525878906, 1.0597705246027953), ('WRB', 5.24246883392334, 7.004533828975991)]",110.16315088370504
2001-09-24,"[('KMX', 5.625, 7.71254976471995), ('LH', 40.42499923706055, 1.073174848369008), ('WRB', 6.320988178253174, 6.86334022515745)]",130.14927727964914
2001-10-01,"[('KMX', 7.574999809265137, 6.358023739179224), ('LH', 39.904998779296875, 1.2069171804253453), ('WRB', 6.299918174743652, 7.644865738838834)]",144.4860858347575
2001-10-08,"[('KMX', 7.994999885559082, 6.2899219889632825), ('LH', 41.17499923706055, 1.2213218339704095), ('WRB', 6.584362030029297, 7.63747882522086)]",150.86377674581098
2001-10-15,"[('KMX', 9.029999732971191, 5.963970381314432), ('LH', 42.29999923706055, 1.2731596199068824), ('WRB', 6.953085899353027, 7.74543155805518)]",161.56395285215225
2001-10-22,"[('KMX', 9.039999961853027, 6.118866766240262), ('LH', 43.45000076293945, 1.2730622407854157), ('WRB', 7.321811199188232, 7.5547639550618895)]",165.94366600018716
2001-10-29,"[('KMX', 9.300000190734863, 6.0554626297368355), ('LH', 43.07500076293945, 1.30738949771518), ('WRB', 7.572015762329102, 7.437359532677207)]",168.94741083462122
2001-11-05,"[('KMX', 9.345000267028809, 5.775236896108501), ('LH', 39.92499923706055, 1.3517743611173592), ('WRB', 7.142715930938721, 7.555892024561545)]",161.9087710088657
2001-11-12,"[('KMX', 9.28499984741211, 5.661086271634076), ('LH', 39.44499969482422, 1.3325690347313215), ('WRB', 6.7160491943359375, 7.826503893485323)]",157.68955550492754
2001-11-19,"[('KMX', 9.489999771118164, 5.714635730215943), ('LH', 40.900001525878906, 1.3259630745357922), ('WRB', 6.9596710205078125, 7.792306793233447)]",162.69567531531897
2001-11-26,"[('KMX', 9.975000381469727, 5.443129534184213), ('LH', 38.45000076293945, 1.412099300455927), ('WRB', 7.045267105102539, 7.706623236548876)]",162.88565753963
2001-12-03,"[('AZO', 76.19999694824219, 0.5547087923501232), ('KMX', 11.010000228881836, 3.8391287380141383), ('LH', 38.125, 1.1086900533571802), ('WRB', 7.176955223083496, 5.889518182904615)]",169.07523313696998
2001-12-10,"[('AZO', 73.5, 0.577019738308186), ('KMX', 11.600000381469727, 3.6561163250822393), ('LH', 38.994998931884766, 1.0875997416933842), ('WRB', 6.979423999786377, 6.076568892640677)]",169.64380306260668
2001-12-17,"[('AZO', 73.55000305175781, 0.5725370092412306), ('KMX', 11.09000015258789, 3.7971233721859114), ('LH', 39.650001525878906, 1.0620453255077993), ('WRB', 6.966255187988281, 6.044868819842556)]",168.4403951077472
2001-12-24,"[('AZO', 72.88999938964844, 0.5867973072881503), ('KMX', 11.460000038146973, 3.732256128072107), ('LH', 40.5, 1.0560902560513734), ('WRB', 7.084774017333984, 6.037123451705477)]",171.0866214803225
2001-12-31,"[('KMX', 10.274999618530273, 5.220607783580823), ('LH', 39.34000015258789, 1.3635420126265665), ('WRB', 6.909629821777344, 7.763330940787074)]",160.92522895436738
2002-01-07,"[('KMX', 10.0, 5.263952596876453), ('LH', 39.349998474121094, 1.3377262518417485), ('WRB', 6.705513954162598, 7.8501851354865)]",157.9185779062936
2002-01-14,"[('KMX', 10.649999618530273, 5.012824956095782), ('LH', 40.15999984741211, 1.3293472129736406), ('WRB', 6.417119026184082, 8.319400598982698)]",160.15975161053734
2002-01-21,"[('KMX', 10.604999542236328, 5.080817141177325), ('LH', 40.36000061035156, 1.3350362398793498), ('WRB', 6.590947151184082, 8.175162419060204)]",161.64619036911606
2002-01-28,"[('KMX', 10.449999809265137, 5.175832060195492), ('LH', 40.85499954223633, 1.3238880099830892), ('WRB', 6.6818108558654785, 8.094728391533534)]",162.2623321254938
2002-02-04,"[('KMX', 12.164999961853027, 4.826235119188099), ('LH', 43.75, 1.341969143790102), ('WRB', 6.825349807739258, 8.601925424282935)]",176.1334501224509
2002-02-11,"[('KMX', 12.604999542236328, 4.799687159212205), ('LH', 43.54999923706055, 1.3892090816218103), ('WRB', 7.233580112457275, 8.363777480055491)]",181.50016333424227
2002-02-18,"[('KMX', 13.0, 4.5938130763118625), ('LH', 41.474998474121094, 1.4398932414504384), ('WRB', 7.071605205535889, 8.444980772583817)]",179.15870997616264
2002-02-25,"[('KMX', 13.28499984741211, 4.532614066161506), ('LH', 40.75, 1.4776877834928488), ('WRB', 7.216461181640625, 8.34422519039226)]",180.64733153200078
2002-03-04,"[('KMX', 14.515000343322754, 4.373092349525607), ('LH', 43.0, 1.4761729524359604), ('WRB', 7.321811199188232, 8.669362706564163)]",190.4263108642389
2002-03-11,"[('KMX', 14.399999618530273, 4.503112766361166), ('LH', 45.0099983215332, 1.4406759505871216), ('WRB', 7.511439800262451, 8.632808601559171)]",194.53446635339878
2002-03-18,"[('KMX', 13.09000015258789, 4.855298449964556), ('LH', 45.95500183105469, 1.383001956665076), ('WRB', 7.589136123657227, 8.374583933575305)]",190.66757235268733
2002-03-25,"[('KMX', 12.930000305175781, 4.9615035981019355), ('LH', 47.93000030517578, 1.3384569711897374), ('WRB', 7.569383144378662, 8.475227348642125)]",192.45672911276628
2002-04-01,"[('KMX', 13.505000114440918, 4.839522108368248), ('LH', 47.625, 1.3723411365323368), ('WRB', 7.707653999328613, 8.479590110433813)]",196.07323988205763
2002-04-08,"[('KMX', 15.449999809265137, 4.461558705488597), ('LH', 47.29999923706055, 1.4573167496970076), ('WRB', 7.914402961730957, 8.709574364880218)]",206.79324344647205
